,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,execution_time,F1_score,recall,precision
86,ChEMBL,assays_both_0_1_ac2_av,View-Unionable,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['CHEI', 'ASI', 'TII', 'T', 'BAFOR', 'CONFSC', 'RELT', 'CUB', 'CI', 'SRI']",,1.0,1.0,1.0
92,ChEMBL,assays_both_0_70_ac4_av,View-Unionable,1.0,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'assay_type', 'assay_cell_type', 'curated_by', 'chembl_id', 'assay_test_type', 'tissue_id', 'tid', 'src_assay_id', 'src_id', 'variant_id', 'relationship_type', 'description', 'assay_organism', 'assay_subcellular_fraction', 'assay_category', 'assay_tax_id', 'assay_strain']","['assays_ASI', 'assays_CHEI', 'assays_Descri', 'assays_DOI', 'assays_ASTI', 'assays_TII', 'assays_ASSOR', 'assays_Ti', 'assays_BFOR', 'assays_CONFSC', 'assays_RELATTY', 'assays_ASTTY', 'assays_CURAB', 'assays_ASST', 'assays_ASSCT', 'assays_CEI', 'assays_ASSSUBFRA', 'assays_SRI']",,0.0,0.0,0.0
93,ChEMBL,assays_both_0_50_ac3_ev,View-Unionable,1.0,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_organism', 'tid', 'chembl_id', 'variant_id', 'src_id', 'bao_format', 'assay_type', 'assay_tax_id', 'relationship_type', 'curated_by', 'doc_id', 'description', 'assay_test_type', 'assay_category', 'assay_strain', 'assay_tissue']","['ss_d', 'chmbl_d', 'tss_d', 'ss_tx_d', 'ss_rgnsm', 'td', 'b_frmt', 'ss_tp', 'rltnshp_tp', 'cnfdnc_scr', 'crtd_b', 'ss_cll_tp', 'cll_d', 'src_d', 'ss_sbclllr_frctn']",,0.18,0.1,1.0
96,ChEMBL,assays_both_0_30_ac3_av,View-Unionable,1.0,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_category', 'assay_cell_type', 'src_assay_id', 'curated_by', 'cell_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue']","['chmbl_d', 'ss_d', 'tss_d', 'td', 'b_frmt', 'crtd_b', 'rltnshp_tp', 'cnfdnc_scr', 'ss_cll_tp', 'cll_d', 'ss_sbclllr_frctn', 'src_d']",,0.0,0.0,0.0
99,ChEMBL,assays_both_0_70_ac4_ev,View-Unionable,1.0,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_organism', 'assay_category', 'tissue_id', 'assay_tax_id', 'assay_test_type', 'assay_strain', 'src_id', 'src_assay_id', 'doc_id', 'relationship_type', 'tid', 'assay_cell_type', 'confidence_score', 'assay_tissue', 'assay_type', 'description', 'assay_subcellular_fraction', 'curated_by']","['assays_CHEI', 'assays_ASI', 'assays_DOI', 'assays_ASSTIS', 'assays_TII', 'assays_ASSORG', 'assays_ASSTI', 'assays_Ti', 'assays_BFO', 'assays_CONFISC', 'assay_type', 'assays_RELT', 'assays_ASTT', 'assays_CI', 'assays_ASSCT', 'assays_SRI', 'assays_ASST']",,0.13,0.07,1.0
111,ChEMBL,assays_both_0_30_ac1_av,View-Unionable,1.0,"[1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'cell_id', 'curated_by', 'assay_category', 'variant_id', 'assay_tissue', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_cell_type']","['assays_assay_id', 'assays_chembl_id', 'assays_assay_tissue', 'assays_tissue_id', 'assays_tid', 'assays_bao_format', 'assays_relationship_type', 'assays_confidence_score', 'assays_curated_by', 'assays_cell_id', 'assays_assay_subcellular_fraction', 'assays_src_id']",,0.5,0.5,0.5
114,ChEMBL,assays_both_0_70_ec_ev,View-Unionable,1.0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['assay_id', 'assay_test_type', 'tissue_id', 'tid', 'assay_tax_id', 'curated_by', 'src_id', 'assay_tissue', 'assay_type', 'cell_id', 'description', 'assay_subcellular_fraction', 'assay_category', 'bao_format', 'relationship_type', 'assay_strain', 'doc_id', 'assay_organism', 'assay_cell_type']","['chembl_id', 'assay_id', 'description', 'tissue_id', 'assay_tissue', 'assay_tax_id', 'tid', 'bao_format', 'relationship_type', 'assay_type', 'confidence_score', 'curated_by', 'assay_test_type', 'cell_id', 'assay_subcellular_fraction', 'assay_strain', 'src_id']",,0.97,1.0,0.94
117,ChEMBL,assays_both_0_1_ac4_ev,View-Unionable,1.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_ASSI', 'assays_CHI', 'assays_TISI', 'assays_Ti', 'assays_BAFO', 'assays_RELATY', 'assays_CURAB', 'assays_CONSC', 'assays_CEI', 'assays_SI']",0 days 00:01:09.409428,0.0,0.0,0.0
124,ChEMBL,assays_both_0_30_ac5_ev,View-Unionable,1.0,"[0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'curated_by', 'assay_type', 'assay_strain', 'src_id', 'relationship_type', 'doc_id', 'description', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_tissue', 'assay_cell_type']","['assays_chmbl_d', 'assays_ss_d', 'assays_tss_d', 'assays_td', 'assays_b_frmt', 'assays_ss_tp', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_crtd_b', 'assays_cll_d', 'assays_src_d', 'assays_ss_strn', 'assays_ss_sbclllr_frctn']",0 days 00:01:22.768745,0.0,0.0,0.0
125,ChEMBL,assays_both_0_70_ac1_av,View-Unionable,1.0,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]","[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1]","['assay_id', 'assay_test_type', 'src_id', 'confidence_score', 'cell_id', 'assay_cell_type', 'assay_tissue', 'chembl_id', 'variant_id', 'tid', 'tissue_id', 'assay_strain', 'assay_category', 'src_assay_id', 'relationship_type', 'bao_format', 'doc_id', 'description', 'assay_type']","['assays_chembl_id', 'assays_assay_id', 'assays_assay_tissue', 'assays_tissue_id', 'assays_assay_tax_id', 'assays_assay_organism', 'assays_tid', 'assays_bao_format', 'assays_relationship_type', 'assays_confidence_score', 'assays_assay_test_type', 'assays_curated_by', 'assays_cell_id', 'assays_assay_cell_type', 'assays_assay_subcellular_fraction', 'assays_src_id', 'assays_assay_strain']",,0.76,0.62,1.0
145,ChEMBL,assays_both_0_70_ac5_av,View-Unionable,1.0,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'src_id', 'assay_cell_type', 'confidence_score', 'assay_organism', 'assay_test_type', 'assay_category', 'assay_tax_id', 'tissue_id', 'cell_id', 'description', 'assay_tissue', 'variant_id', 'src_assay_id', 'assay_subcellular_fraction', 'bao_format', 'doc_id', 'assay_type', 'assay_strain']","['assays_chmbl_d', 'assays_ss_d', 'assays_dscrptn', 'assays_ss_tss', 'assays_tss_d', 'assays_ss_rgnsm', 'assays_ss_tx_d', 'assays_td', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_ss_tst_tp', 'assays_crtd_b', 'assays_cll_d', 'assays_ss_cll_tp', 'assays_src_d', 'assays_ss_sbclllr_frctn']",,0.0,0.0,0.0
154,ChEMBL,assays_both_0_70_ac2_av,View-Unionable,1.0,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0]","['assay_id', 'assay_strain', 'doc_id', 'src_assay_id', 'assay_subcellular_fraction', 'chembl_id', 'assay_category', 'relationship_type', 'curated_by', 'src_id', 'assay_cell_type', 'tid', 'assay_organism', 'assay_tax_id', 'assay_tissue', 'cell_id', 'description', 'assay_type', 'assay_test_type']","['CHEI', 'ASI', 'DOI', 'ASTI', 'TII', 'ASSTAI', 'ASORGA', 'T', 'BFO', 'CONFSCO', 'RELATT', 'ASSCET', 'CUB', 'CI', 'ASSSTR', 'ASSSUBFRA', 'SI']",,0.64,0.5,0.88
155,ChEMBL,assays_both_0_1_ac1_av,View-Unionable,1.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_assay_id', 'assays_chembl_id', 'assays_tissue_id', 'assays_tid', 'assays_bao_format', 'assays_relationship_type', 'assays_confidence_score', 'assays_curated_by', 'assays_cell_id', 'assays_src_id']",,0.5,1.0,0.33
159,ChEMBL,assays_both_0_70_ec_av,View-Unionable,1.0,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","['assay_id', 'chembl_id', 'assay_tissue', 'tid', 'assay_category', 'description', 'relationship_type', 'assay_tax_id', 'assay_cell_type', 'curated_by', 'assay_strain', 'confidence_score', 'src_assay_id', 'assay_type', 'assay_organism', 'cell_id', 'doc_id', 'assay_test_type', 'assay_subcellular_fraction']","['assay_id', 'chembl_id', 'description', 'assay_tissue', 'tissue_id', 'assay_tax_id', 'assay_organism', 'tid', 'bao_format', 'confidence_score', 'relationship_type', 'assay_type', 'curated_by', 'cell_id', 'assay_cell_type', 'assay_strain', 'src_id']",0 days 00:02:28.642369,0.93,1.0,0.88
188,ChEMBL,assays_both_0_1_ac2_ev,View-Unionable,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['CHEI', 'ASI', 'TII', 'Ti', 'BFOR', 'CONSCO', 'RELATIT', 'CURAB', 'CI', 'SI']",,1.0,1.0,1.0
195,ChEMBL,assays_both_0_50_ec_ev,View-Unionable,1.0,"[1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]","['assay_id', 'doc_id', 'confidence_score', 'assay_strain', 'cell_id', 'assay_category', 'curated_by', 'tissue_id', 'assay_cell_type', 'assay_tissue', 'assay_tax_id', 'description', 'assay_type', 'assay_test_type', 'assay_organism', 'assay_subcellular_fraction', 'tid']","['assay_id', 'chembl_id', 'doc_id', 'assay_tissue', 'tissue_id', 'assay_tax_id', 'bao_format', 'confidence_score', 'relationship_type', 'curated_by', 'assay_cell_type', 'cell_id', 'src_id', 'assay_strain']",,0.95,1.0,0.91
197,ChEMBL,assays_both_0_30_ac5_av,View-Unionable,1.0,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_strain', 'variant_id', 'assay_tissue', 'tid', 'src_assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_cell_type']","['assays_ss_d', 'assays_chmbl_d', 'assays_tss_d', 'assays_ss_tss', 'assays_td', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_crtd_b', 'assays_cll_d', 'assays_src_d', 'assays_ss_strn', 'assays_ss_sbclllr_frctn']",0 days 00:01:06.517238,0.0,0.0,0.0
203,ChEMBL,assays_both_0_50_ac2_ev,View-Unionable,1.0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1]","[0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0]","['assay_id', 'curated_by', 'assay_subcellular_fraction', 'assay_tissue', 'tissue_id', 'description', 'tid', 'assay_organism', 'doc_id', 'bao_format', 'assay_strain', 'assay_type', 'assay_test_type', 'assay_category', 'assay_tax_id', 'assay_cell_type', 'relationship_type']","['CHEI', 'ASSI', 'Desc', 'DI', 'ASTI', 'TISI', 'ASORG', 'Ti', 'BAFO', 'CONFISC', 'CUB', 'CI', 'SI', 'ASSUBCELFRAC', 'ASSST']",,0.59,0.45,0.83
208,ChEMBL,assays_both_0_50_ac5_av,View-Unionable,1.0,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'cell_id', 'tid', 'confidence_score', 'src_id', 'src_assay_id', 'assay_strain', 'assay_organism', 'doc_id', 'chembl_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_tax_id', 'assay_tissue']","['assays_chmbl_d', 'assays_ss_d', 'assays_dc_d', 'assays_tss_d', 'assays_ss_rgnsm', 'assays_td', 'assays_b_frmt', 'assays_rltnshp_tp', 'assays_cnfdnc_scr', 'assays_crtd_b', 'assays_cll_d', 'assays_ss_cll_tp', 'assays_ss_sbclllr_frctn', 'assays_src_d', 'assays_ss_strn']",,0.0,0.0,0.0
212,ChEMBL,assays_both_0_70_ac2_ev,View-Unionable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_organism', 'tid', 'assay_category', 'assay_tissue', 'src_id', 'assay_type', 'tissue_id', 'variant_id', 'cell_id', 'chembl_id', 'assay_tax_id', 'src_assay_id', 'doc_id', 'assay_strain', 'assay_cell_type', 'description', 'assay_test_type', 'assay_subcellular_fraction']","['ASI', 'CHI', 'DOI', 'ASSTI', 'TII', 'ASTI', 'ASOR', 'Ti', 'BAFOR', 'CONFISCO', 'ASSTY', 'RELATTY', 'CURAB', 'ASSCTY', 'CI', 'ASST', 'SI']",0 days 00:08:13.525015,0.56,0.38,1.0
214,ChEMBL,assays_both_0_50_ac1_av,View-Unionable,1.0,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0]","['assay_id', 'src_id', 'relationship_type', 'assay_test_type', 'assay_tax_id', 'src_assay_id', 'curated_by', 'chembl_id', 'doc_id', 'assay_organism', 'variant_id', 'description', 'assay_type', 'assay_category', 'assay_strain', 'assay_tissue', 'assay_cell_type']","['assays_chembl_id', 'assays_assay_id', 'assays_doc_id', 'assays_tissue_id', 'assays_assay_tax_id', 'assays_assay_organism', 'assays_tid', 'assays_bao_format', 'assays_relationship_type', 'assays_assay_test_type', 'assays_confidence_score', 'assays_curated_by', 'assays_cell_id', 'assays_src_id', 'assays_assay_subcellular_fraction']",,0.62,0.56,0.71
240,ChEMBL,assays_both_0_1_ac5_ev,View-Unionable,1.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_ss_d', 'assays_chmbl_d', 'assays_tss_d', 'assays_td', 'assays_b_frmt', 'assays_rltnshp_tp', 'assays_cnfdnc_scr', 'assays_crtd_b', 'assays_cll_d', 'assays_src_d']",0 days 00:01:27.961280,0.0,0.0,0.0
256,ChEMBL,assays_both_0_1_ec_av,View-Unionable,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['chembl_id', 'assay_id', 'tissue_id', 'tid', 'bao_format', 'relationship_type', 'confidence_score', 'curated_by', 'cell_id', 'src_id']",,1.0,1.0,1.0
260,ChEMBL,assays_both_0_30_ac2_av,View-Unionable,1.0,"[1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","['assay_id', 'assay_test_type', 'chembl_id', 'assay_strain', 'assay_cell_type', 'doc_id', 'description', 'assay_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_tissue', 'assay_subcellular_fraction', 'tid']","['ASSI', 'CHEI', 'DOI', 'TII', 'BFO', 'RELATT', 'CONFSCO', 'ASTETY', 'CUB', 'CI', 'ASCETY', 'SI', 'ASSTR']",0 days 00:00:49.827139,0.44,0.33,0.67
266,ChEMBL,assays_both_0_50_ac4_av,View-Unionable,1.0,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","['assay_id', 'curated_by', 'assay_organism', 'variant_id', 'assay_strain', 'doc_id', 'assay_category', 'assay_test_type', 'assay_subcellular_fraction', 'tid', 'assay_type', 'description', 'assay_tax_id', 'assay_tissue', 'assay_cell_type', 'relationship_type', 'confidence_score']","['assays_CHEI', 'assays_ASSI', 'assays_DI', 'assays_TII', 'assays_ASORGA', 'assays_T', 'assays_BAFO', 'assays_AST', 'assays_CURB', 'assays_ASSTTY', 'assays_CI', 'assays_ASSSTR', 'assays_SRI', 'assays_ASSUBCELFRA']",,0.2,0.11,1.0
