,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1 cross-domain,Recall cross-domain,Precision cross-domain
95,ChEMBL,assays_vertical_1_ac2_av,Semantically-Joinable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['ASSI', 'CHEI', 'T', 'CI', 'TISI', 'BAFOR', 'CONSCO', 'RELATITY', 'CURB', 'SRI']",0.0,0.0,0.0
114,ChEMBL,assays_vertical_50_ac4_av,Semantically-Joinable,0,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'cell_id', 'assay_organism', 'bao_format', 'assay_cell_type', 'src_id', 'assay_type', 'curated_by', 'assay_test_type', 'confidence_score', 'description', 'doc_id', 'assay_category', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_subcellular_fraction']","['assays_ASSI', 'assays_CHEI', 'assays_Des', 'assays_T', 'assays_ASCT', 'assays_CEI', 'assays_ASORG', 'assays_TISI', 'assays_BFO', 'assays_CONSCO', 'assays_AST', 'assays_RELTY', 'assays_CURAB', 'assays_ASTET', 'assays_SI']",0.14285714285714285,0.09090909090909091,0.3333333333333333
133,ChEMBL,assays_both_50_1_ec_av,Semantically-Joinable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assay_id', 'chembl_id', 'tid', 'tissue_id', 'cell_id', 'bao_format', 'confidence_score', 'relationship_type', 'curated_by', 'src_id']",1.0,1.0,1.0
134,ChEMBL,assays_vertical_70_ac3_av,Semantically-Joinable,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'tissue_id', 'assay_tax_id', 'curated_by', 'assay_organism', 'doc_id', 'chembl_id', 'tid', 'assay_strain', 'cell_id', 'assay_tissue', 'description', 'variant_id', 'assay_type', 'src_id', 'assay_test_type', 'assay_category', 'assay_cell_type']","['ss_d', 'chmbl_d', 'dscrptn', 'dc_d', 'td', 'cll_d', 'ss_rgnsm', 'ss_tx_d', 'tss_d', 'ss_tss', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'ss_sbclllr_frctn', 'crtd_b', 'ss_tp', 'ss_strn', 'src_d']",0.5,0.3333333333333333,1.0
165,ChEMBL,assays_both_50_50_ac1_av,Semantically-Joinable,0,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1]","['assay_id', 'src_assay_id', 'assay_tax_id', 'assay_tissue', 'variant_id', 'assay_subcellular_fraction', 'confidence_score', 'assay_type', 'relationship_type', 'curated_by', 'doc_id', 'description', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_strain', 'assay_cell_type']","['assays_chembl_id', 'assays_assay_id', 'assays_doc_id', 'assays_tid', 'assays_assay_tax_id', 'assays_tissue_id', 'assays_assay_tissue', 'assays_cell_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_assay_subcellular_fraction', 'assays_assay_type', 'assays_curated_by', 'assays_src_id']",0.5555555555555556,0.5555555555555556,0.5555555555555556
168,ChEMBL,assays_vertical_1_ec_av,Semantically-Joinable,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['chembl_id', 'assay_id', 'tid', 'cell_id', 'tissue_id', 'bao_format', 'confidence_score', 'relationship_type', 'curated_by', 'src_id']",1.0,1.0,1.0
179,ChEMBL,assays_vertical_70_ec_av,Semantically-Joinable,0,"[1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1]","['assay_id', 'cell_id', 'assay_category', 'tissue_id', 'confidence_score', 'assay_tissue', 'assay_test_type', 'chembl_id', 'src_assay_id', 'curated_by', 'assay_type', 'variant_id', 'src_id', 'assay_subcellular_fraction', 'relationship_type', 'description', 'doc_id', 'assay_organism', 'assay_tax_id']","['chembl_id', 'assay_id', 'description', 'tid', 'assay_cell_type', 'cell_id', 'assay_tissue', 'tissue_id', 'bao_format', 'confidence_score', 'relationship_type', 'assay_test_type', 'assay_type', 'curated_by', 'assay_subcellular_fraction', 'assay_strain', 'src_id']",0.9285714285714286,1.0,0.8666666666666667
181,ChEMBL,assays_both_50_30_ac5_av,Semantically-Joinable,0,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'src_id', 'description', 'assay_organism', 'confidence_score', 'tid', 'doc_id', 'assay_type', 'assay_test_type', 'assay_category', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type']","['assays_ss_d', 'assays_chmbl_d', 'assays_dscrptn', 'assays_td', 'assays_ss_rgnsm', 'assays_tss_d', 'assays_cll_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_ss_sbclllr_frctn', 'assays_crtd_b', 'assays_src_d']",0.2857142857142857,0.16666666666666666,1.0
185,ChEMBL,assays_vertical_30_ac5_av,Semantically-Joinable,0,"[1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'bao_format', 'relationship_type', 'tid', 'assay_strain', 'confidence_score', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_tissue']","['assays_ss_d', 'assays_chmbl_d', 'assays_td', 'assays_cll_d', 'assays_ss_cll_tp', 'assays_tss_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_ss_sbclllr_frctn', 'assays_crtd_b', 'assays_ss_strn', 'assays_src_d']",0.0,0.0,0.0
210,ChEMBL,assays_both_50_1_ac5_av,Semantically-Joinable,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_chmbl_d', 'assays_ss_d', 'assays_td', 'assays_tss_d', 'assays_cll_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_crtd_b', 'assays_src_d']",0.0,0.0,0.0
211,ChEMBL,assays_vertical_1_ac1_av,Semantically-Joinable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_assay_id', 'assays_chembl_id', 'assays_tid', 'assays_cell_id', 'assays_tissue_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_curated_by', 'assays_src_id']",0.18181818181818182,1.0,0.1
213,ChEMBL,assays_both_50_1_ac2_av,Semantically-Joinable,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['CHI', 'ASI', 'Ti', 'TISI', 'CI', 'BFOR', 'CONFISCO', 'RELATITY', 'CURB', 'SI']",0.0,0.0,0.0
226,ChEMBL,assays_both_50_1_ac4_av,Semantically-Joinable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_ASSI', 'assays_CHI', 'assays_Ti', 'assays_TII', 'assays_CEI', 'assays_BFOR', 'assays_CONFSCO', 'assays_RELATT', 'assays_CURB', 'assays_SRI']",0.0,0.0,0.0
227,ChEMBL,assays_both_50_70_ac4_av,Semantically-Joinable,0,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'cell_id', 'curated_by', 'tissue_id', 'assay_subcellular_fraction', 'assay_type', 'src_assay_id', 'assay_tax_id', 'assay_organism', 'variant_id', 'confidence_score', 'doc_id', 'src_id', 'bao_format', 'chembl_id', 'assay_strain', 'description', 'assay_test_type', 'assay_category']","['assays_ASSI', 'assays_CHI', 'assays_DOI', 'assays_T', 'assays_ASSTI', 'assays_ASORG', 'assays_ASTI', 'assays_TII', 'assays_CI', 'assays_ASCET', 'assays_BFO', 'assays_CONFSCO', 'assays_RELATITY', 'assays_ASSTY', 'assays_CURAB', 'assays_ASSSUBCEFRAC', 'assays_ASST', 'assays_SRI']",0.4444444444444444,0.2857142857142857,1.0
246,ChEMBL,assays_both_50_30_ec_av,Semantically-Joinable,0,"[0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]","['assay_id', 'assay_test_type', 'curated_by', 'confidence_score', 'cell_id', 'bao_format', 'doc_id', 'description', 'assay_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue']","['chembl_id', 'assay_id', 'tid', 'tissue_id', 'assay_cell_type', 'cell_id', 'bao_format', 'confidence_score', 'relationship_type', 'assay_subcellular_fraction', 'curated_by', 'assay_test_type', 'src_id']",0.8,1.0,0.6666666666666666
251,ChEMBL,assays_both_50_30_ac2_av,Semantically-Joinable,0,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'description', 'tissue_id', 'variant_id', 'tid', 'doc_id', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue']","['ASI', 'CHI', 'Descri', 'Ti', 'TISI', 'ASSCTY', 'CI', 'BAFO', 'CONFISC', 'RELAT', 'ASSSUBCELFR', 'CUB', 'SRI']",0.0,0.0,0.0
257,ChEMBL,assays_both_50_30_ac1_av,Semantically-Joinable,0,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0]","[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1]","['assay_id', 'bao_format', 'assay_tissue', 'cell_id', 'curated_by', 'src_assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain']","['assays_assay_id', 'assays_chembl_id', 'assays_tid', 'assays_assay_cell_type', 'assays_assay_tissue', 'assays_tissue_id', 'assays_cell_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_assay_subcellular_fraction', 'assays_curated_by', 'assays_src_id']",0.0,0.0,0.0
258,ChEMBL,assays_both_50_30_ac3_av,Semantically-Joinable,0,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'assay_tax_id', 'assay_cell_type', 'assay_strain', 'bao_format', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tissue', 'tid']","['ss_d', 'chmbl_d', 'ss_tx_d', 'tss_d', 'ss_cll_tp', 'cll_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'crtd_b', 'ss_sbclllr_frctn', 'src_d', 'ss_strn']",0.0,0.0,0.0
269,ChEMBL,assays_vertical_1_ac4_av,Semantically-Joinable,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_CHEI', 'assays_ASSI', 'assays_Ti', 'assays_CEI', 'assays_TISI', 'assays_BFO', 'assays_CONFSC', 'assays_RELATT', 'assays_CURB', 'assays_SRI']",0.0,0.0,0.0
276,ChEMBL,assays_both_50_1_ac1_av,Semantically-Joinable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_assay_id', 'assays_chembl_id', 'assays_tid', 'assays_tissue_id', 'assays_cell_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_curated_by', 'assays_src_id']",1.0,1.0,1.0
278,ChEMBL,assays_vertical_70_ac5_av,Semantically-Joinable,0,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'tid', 'assay_category', 'assay_test_type', 'confidence_score', 'assay_strain', 'relationship_type', 'assay_subcellular_fraction', 'assay_tissue', 'assay_cell_type', 'curated_by', 'description', 'assay_type', 'src_id', 'variant_id', 'doc_id', 'assay_organism', 'assay_tax_id', 'src_assay_id']","['assays_chmbl_d', 'assays_ss_d', 'assays_dscrptn', 'assays_dc_d', 'assays_td', 'assays_ss_cll_tp', 'assays_cll_d', 'assays_tss_d', 'assays_ss_tss', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_ss_tp', 'assays_crtd_b', 'assays_ss_sbclllr_frctn', 'assays_ss_tst_tp', 'assays_ss_strn', 'assays_src_d']",0.0,0.0,0.0
281,ChEMBL,assays_both_50_70_ac2_av,Semantically-Joinable,0,"[1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0]","['assay_id', 'assay_organism', 'assay_subcellular_fraction', 'confidence_score', 'assay_cell_type', 'variant_id', 'assay_test_type', 'relationship_type', 'assay_tissue', 'assay_type', 'description', 'doc_id', 'curated_by', 'assay_category', 'bao_format', 'cell_id', 'assay_tax_id', 'assay_strain', 'tid']","['ASSI', 'CHI', 'Descr', 'DOI', 'ASSORGA', 'TII', 'ASCET', 'ASTIS', 'CEI', 'BAFOR', 'CONFSCO', 'RELAT', 'ASTY', 'ASSSUBCEFRA', 'ASSTTY', 'CURAB', 'SRI']",0.13333333333333333,0.07142857142857142,1.0
289,ChEMBL,assays_vertical_70_ac1_av,Semantically-Joinable,0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0]","[1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","['assay_id', 'tid', 'assay_test_type', 'bao_format', 'cell_id', 'assay_cell_type', 'description', 'assay_category', 'src_assay_id', 'relationship_type', 'curated_by', 'assay_type', 'assay_tax_id', 'chembl_id', 'variant_id', 'tissue_id', 'doc_id', 'assay_organism', 'assay_strain']","['assays_assay_id', 'assays_chembl_id', 'assays_description', 'assays_tid', 'assays_assay_cell_type', 'assays_cell_id', 'assays_assay_tax_id', 'assays_tissue_id', 'assays_assay_tissue', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_assay_subcellular_fraction', 'assays_assay_type', 'assays_assay_test_type', 'assays_curated_by', 'assays_src_id']",0.75,0.6923076923076923,0.8181818181818182
291,ChEMBL,assays_vertical_30_ec_av,Semantically-Joinable,0,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0]","['assay_id', 'tissue_id', 'cell_id', 'chembl_id', 'curated_by', 'src_assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain']","['chembl_id', 'assay_id', 'tid', 'cell_id', 'assay_cell_type', 'assay_tissue', 'tissue_id', 'bao_format', 'confidence_score', 'relationship_type', 'assay_subcellular_fraction', 'curated_by', 'src_id']",0.8333333333333334,1.0,0.7142857142857143
299,ChEMBL,assays_vertical_30_ac1_av,Semantically-Joinable,0,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]","['assay_id', 'bao_format', 'assay_type', 'tid', 'assay_test_type', 'curated_by', 'doc_id', 'description', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type']","['assays_chembl_id', 'assays_assay_id', 'assays_tid', 'assays_cell_id', 'assays_tissue_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_assay_subcellular_fraction', 'assays_assay_type', 'assays_curated_by', 'assays_assay_test_type', 'assays_src_id']",0.75,1.0,0.6
