,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1 cross-domain,Recall cross-domain,Precision cross-domain
152,ChEMBL,assays_both_50_30_ac4_ev,Joinable,0,"[0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'assay_test_type', 'bao_format', 'tissue_id', 'cell_id', 'doc_id', 'description', 'assay_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue']","['assays_CHI', 'assays_ASSI', 'assays_T', 'assays_ASCTY', 'assays_TISI', 'assays_CEI', 'assays_BAFO', 'assays_CONFISC', 'assays_RELT', 'assays_CUB', 'assays_ASSUBCFRA', 'assays_ASTTY', 'assays_SI']",0.0,0.0,0.0
156,ChEMBL,assays_both_50_30_ac3_ev,Joinable,0,"[1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'chembl_id', 'confidence_score', 'doc_id', 'curated_by', 'assay_category', 'description', 'assay_type', 'assay_test_type', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type']","['ss_d', 'chmbl_d', 'dc_d', 'td', 'tss_d', 'cll_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'crtd_b', 'ss_sbclllr_frctn', 'src_d']",0.4444444444444444,0.4,0.5
157,ChEMBL,assays_vertical_1_ec_ev,Joinable,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['chembl_id', 'assay_id', 'tid', 'cell_id', 'tissue_id', 'bao_format', 'confidence_score', 'relationship_type', 'curated_by', 'src_id']",0.0,0.0,0.0
167,ChEMBL,assays_vertical_30_ac2_ev,Joinable,0,"[0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","['assay_id', 'confidence_score', 'src_assay_id', 'bao_format', 'curated_by', 'tissue_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain']","['CHI', 'ASSI', 'Ti', 'ASCET', 'CEI', 'TISI', 'ASSTI', 'BAFO', 'CONSC', 'RELATT', 'ASSUBFR', 'CUB', 'SI']",0.0,0.0,0.0
169,ChEMBL,assays_both_50_50_ac5_ev,Joinable,0,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_tissue', 'doc_id', 'tissue_id', 'assay_organism', 'assay_category', 'cell_id', 'assay_tax_id', 'assay_subcellular_fraction', 'curated_by', 'assay_strain', 'description', 'assay_type', 'assay_test_type', 'assay_cell_type', 'tid', 'relationship_type']","['assays_chmbl_d', 'assays_ss_d', 'assays_dc_d', 'assays_ss_rgnsm', 'assays_ss_tx_d', 'assays_tss_d', 'assays_ss_tss', 'assays_cll_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_ss_sbclllr_frctn', 'assays_crtd_b', 'assays_src_d', 'assays_ss_strn']",0.0,0.0,0.0
174,ChEMBL,assays_both_50_50_ac2_ev,Joinable,0,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1]","['assay_id', 'assay_type', 'assay_test_type', 'assay_tax_id', 'assay_strain', 'tid', 'curated_by', 'description', 'src_assay_id', 'chembl_id', 'assay_category', 'doc_id', 'assay_organism', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'relationship_type']","['ASI', 'CHEI', 'Des', 'Ti', 'ASSTI', 'TII', 'CI', 'BFOR', 'CONSC', 'ASSTY', 'CURB', 'ASTTY', 'SI', 'ASSTR']",0.36363636363636365,0.2222222222222222,1.0
175,ChEMBL,assays_both_50_30_ec_ev,Joinable,0,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1]","[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1]","['assay_id', 'src_id', 'assay_type', 'bao_format', 'assay_tax_id', 'doc_id', 'description', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['chembl_id', 'assay_id', 'doc_id', 'tid', 'assay_tax_id', 'tissue_id', 'cell_id', 'bao_format', 'confidence_score', 'relationship_type', 'assay_type', 'curated_by', 'src_id']",0.9230769230769231,1.0,0.8571428571428571
186,ChEMBL,assays_both_50_30_ac1_ev,Joinable,0,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]","['assay_id', 'curated_by', 'assay_test_type', 'assay_strain', 'assay_type', 'relationship_type', 'doc_id', 'description', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_chembl_id', 'assays_assay_id', 'assays_tid', 'assays_tissue_id', 'assays_cell_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_curated_by', 'assays_assay_type', 'assays_assay_test_type', 'assays_assay_strain', 'assays_src_id']",0.0,0.0,0.0
195,ChEMBL,assays_both_50_50_ac1_ev,Joinable,0,"[1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]","[0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1]","['assay_id', 'assay_tissue', 'variant_id', 'src_assay_id', 'assay_cell_type', 'chembl_id', 'assay_type', 'bao_format', 'assay_strain', 'assay_category', 'confidence_score', 'doc_id', 'description', 'assay_test_type', 'assay_organism', 'assay_tax_id', 'assay_subcellular_fraction']","['assays_chembl_id', 'assays_assay_id', 'assays_tid', 'assays_assay_tissue', 'assays_assay_cell_type', 'assays_tissue_id', 'assays_cell_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_assay_type', 'assays_curated_by', 'assays_assay_strain', 'assays_src_id']",0.3333333333333333,0.25,0.5
201,ChEMBL,assays_both_50_50_ac4_ev,Joinable,0,"[0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_organism', 'doc_id', 'assay_cell_type', 'src_id', 'assay_type', 'src_assay_id', 'assay_tissue', 'tissue_id', 'curated_by', 'cell_id', 'description', 'assay_test_type', 'assay_category', 'assay_tax_id', 'assay_strain', 'assay_subcellular_fraction']","['assays_CHEI', 'assays_ASI', 'assays_DOI', 'assays_T', 'assays_ASOR', 'assays_TII', 'assays_ASTI', 'assays_CEI', 'assays_ASSCET', 'assays_BAFOR', 'assays_CONFISCO', 'assays_RELATIT', 'assays_ASST', 'assays_CURB', 'assays_SI']",0.5333333333333333,0.4,0.8
208,ChEMBL,assays_both_50_1_ac5_ev,Joinable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_ss_d', 'assays_chmbl_d', 'assays_td', 'assays_tss_d', 'assays_cll_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_crtd_b', 'assays_src_d']",0.4,1.0,0.25
219,ChEMBL,assays_both_50_1_ac3_ev,Joinable,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['chmbl_d', 'ss_d', 'td', 'tss_d', 'cll_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'crtd_b', 'src_d']",0.0,0.0,0.0
221,ChEMBL,assays_both_50_70_ac2_ev,Joinable,0,"[1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'assay_cell_type', 'assay_type', 'confidence_score', 'curated_by', 'assay_test_type', 'doc_id', 'assay_organism', 'bao_format', 'cell_id', 'assay_tissue', 'assay_category', 'variant_id', 'tid', 'src_id', 'description', 'assay_tax_id', 'assay_strain']","['ASSI', 'CHI', 'DI', 'Ti', 'ASSOR', 'ASCT', 'TISI', 'ASSTIS', 'CEI', 'BAFO', 'CONFSC', 'RELATIT', 'ASST', 'ASSSUBCEFRA', 'ASSTTY', 'CURAB', 'SRI']",0.0,0.0,0.0
225,ChEMBL,assays_vertical_50_ac5_ev,Joinable,0,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'assay_strain', 'assay_test_type', 'assay_tax_id', 'tissue_id', 'src_assay_id', 'variant_id', 'tid', 'assay_category', 'src_id', 'doc_id', 'description', 'assay_type', 'assay_organism', 'assay_tissue', 'assay_cell_type']","['assays_chmbl_d', 'assays_ss_d', 'assays_td', 'assays_cll_d', 'assays_ss_tx_d', 'assays_tss_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_ss_sbclllr_frctn', 'assays_ss_strn', 'assays_ss_tst_tp', 'assays_crtd_b', 'assays_src_d']",0.5454545454545454,0.375,1.0
230,ChEMBL,assays_vertical_50_ac3_ev,Joinable,0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'tissue_id', 'curated_by', 'assay_tissue', 'tid', 'description', 'chembl_id', 'relationship_type', 'confidence_score', 'cell_id', 'assay_cell_type', 'doc_id', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id']","['chmbl_d', 'ss_d', 'dscrptn', 'td', 'cll_d', 'ss_cll_tp', 'tss_d', 'ss_tss', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'ss_sbclllr_frctn', 'crtd_b', 'src_d', 'ss_strn']",0.42857142857142855,0.2727272727272727,1.0
232,ChEMBL,assays_both_50_70_ec_ev,Joinable,0,"[1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","['assay_id', 'assay_test_type', 'assay_organism', 'assay_category', 'assay_type', 'relationship_type', 'curated_by', 'assay_tissue', 'assay_tax_id', 'description', 'tid', 'variant_id', 'src_assay_id', 'src_id', 'doc_id', 'bao_format', 'assay_strain', 'assay_cell_type', 'assay_subcellular_fraction']","['assay_id', 'chembl_id', 'description', 'doc_id', 'tid', 'assay_tax_id', 'assay_organism', 'assay_tissue', 'tissue_id', 'cell_id', 'bao_format', 'confidence_score', 'relationship_type', 'assay_type', 'curated_by', 'assay_test_type', 'src_id']",0.9629629629629629,1.0,0.9285714285714286
237,ChEMBL,assays_vertical_70_ec_ev,Joinable,0,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['assay_id', 'relationship_type', 'variant_id', 'cell_id', 'assay_strain', 'description', 'curated_by', 'src_assay_id', 'assay_cell_type', 'assay_category', 'tissue_id', 'tid', 'bao_format', 'assay_type', 'assay_subcellular_fraction', 'doc_id', 'assay_test_type', 'assay_organism', 'assay_tax_id']","['chembl_id', 'assay_id', 'description', 'doc_id', 'tid', 'cell_id', 'assay_cell_type', 'tissue_id', 'assay_tissue', 'bao_format', 'confidence_score', 'relationship_type', 'assay_subcellular_fraction', 'assay_type', 'assay_strain', 'curated_by', 'src_id']",0.9285714285714286,1.0,0.8666666666666667
241,ChEMBL,assays_vertical_1_ac5_ev,Joinable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_ss_d', 'assays_chmbl_d', 'assays_td', 'assays_cll_d', 'assays_tss_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_crtd_b', 'assays_src_d']",0.0,0.0,0.0
263,ChEMBL,assays_both_50_70_ac3_ev,Joinable,0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'confidence_score', 'assay_organism', 'description', 'assay_type', 'assay_tax_id', 'assay_tissue', 'assay_subcellular_fraction', 'assay_category', 'chembl_id', 'doc_id', 'relationship_type', 'bao_format', 'src_id', 'tissue_id', 'assay_test_type', 'assay_strain', 'assay_cell_type', 'tid']","['chmbl_d', 'ss_d', 'dscrptn', 'dc_d', 'ss_rgnsm', 'tss_d', 'ss_tx_d', 'ss_tss', 'cll_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'ss_tp', 'ss_sbclllr_frctn', 'ss_tst_tp', 'crtd_b', 'src_d']",0.5833333333333334,0.4666666666666667,0.7777777777777778
270,ChEMBL,assays_vertical_30_ac5_ev,Joinable,0,"[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'variant_id', 'src_id', 'assay_subcellular_fraction', 'assay_organism', 'cell_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_tax_id', 'assay_strain', 'assay_tissue']","['assays_chmbl_d', 'assays_ss_d', 'assays_td', 'assays_ss_cll_tp', 'assays_cll_d', 'assays_ss_rgnsm', 'assays_tss_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_ss_sbclllr_frctn', 'assays_crtd_b', 'assays_src_d']",0.3333333333333333,0.2,1.0
280,ChEMBL,assays_vertical_1_ac4_ev,Joinable,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_CHEI', 'assays_ASSI', 'assays_T', 'assays_CI', 'assays_TII', 'assays_BAFO', 'assays_CONSC', 'assays_RELATITY', 'assays_CURAB', 'assays_SRI']",0.0,0.0,0.0
285,ChEMBL,assays_vertical_30_ac3_ev,Joinable,0,"[1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'tid', 'assay_cell_type', 'assay_organism', 'assay_tissue', 'description', 'doc_id', 'assay_type', 'assay_test_type', 'assay_category', 'assay_tax_id', 'assay_strain', 'assay_subcellular_fraction', 'relationship_type']","['ss_d', 'chmbl_d', 'dscrptn', 'td', 'cll_d', 'ss_cll_tp', 'ss_rgnsm', 'ss_tss', 'tss_d', 'b_frmt', 'cnfdnc_scr', 'crtd_b', 'src_d']",0.0,0.0,0.0
292,ChEMBL,assays_both_50_50_ac3_ev,Joinable,0,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_tax_id', 'src_assay_id', 'curated_by', 'assay_subcellular_fraction', 'tid', 'assay_test_type', 'chembl_id', 'tissue_id', 'assay_category', 'src_id', 'doc_id', 'description', 'assay_type', 'assay_organism', 'assay_strain', 'assay_tissue']","['ss_d', 'chmbl_d', 'td', 'ss_tx_d', 'ss_cll_tp', 'tss_d', 'cll_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'ss_tst_tp', 'crtd_b', 'ss_sbclllr_frctn', 'src_d']",0.0,0.0,0.0
302,ChEMBL,assays_vertical_50_ac1_ev,Joinable,0,"[1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1]","[1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]","['assay_id', 'src_id', 'description', 'assay_tissue', 'bao_format', 'src_assay_id', 'assay_organism', 'assay_category', 'curated_by', 'doc_id', 'assay_test_type', 'assay_type', 'assay_tax_id', 'assay_strain', 'assay_cell_type', 'assay_subcellular_fraction', 'tid']","['assays_assay_id', 'assays_chembl_id', 'assays_description', 'assays_doc_id', 'assays_cell_id', 'assays_assay_organism', 'assays_assay_tissue', 'assays_tissue_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_assay_test_type', 'assays_curated_by', 'assays_src_id']",0.8421052631578947,0.8888888888888888,0.8
310,ChEMBL,assays_both_50_70_ac5_ev,Joinable,0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_test_type', 'doc_id', 'curated_by', 'assay_tax_id', 'assay_strain', 'src_id', 'description', 'cell_id', 'src_assay_id', 'chembl_id', 'assay_subcellular_fraction', 'tid', 'assay_organism', 'assay_cell_type', 'variant_id', 'assay_type', 'assay_category', 'assay_tissue']","['assays_ss_d', 'assays_chmbl_d', 'assays_dscrptn', 'assays_dc_d', 'assays_td', 'assays_ss_rgnsm', 'assays_ss_tx_d', 'assays_ss_cll_tp', 'assays_tss_d', 'assays_cll_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_crtd_b', 'assays_ss_tst_tp', 'assays_ss_sbclllr_frctn', 'assays_src_d', 'assays_ss_strn']",0.8387096774193549,0.9285714285714286,0.7647058823529411
312,ChEMBL,assays_vertical_1_ac3_ev,Joinable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['ss_d', 'chmbl_d', 'td', 'cll_d', 'tss_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'crtd_b', 'src_d']",0.0,0.0,0.0
