,dataset,walk_strategy,walk_length,dimension,window,learning_methd,training_algorithms,n_sentences,simlarity_value,cdt_similarity,natt_sim,y_true,y_pred,F1_score,recall,precision,s1(source),s2(target),it,execution_time,Dataset,relation,relation2
15,assays_horizontal_100_ec_av,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,"['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'tid', 'relationship_type', 'confidence_score', 'curated_by', 'src_id', 'src_assay_id', 'chembl_id', 'cell_id', 'bao_format', 'tissue_id', 'variant_id']","['assay_id', 'chembl_id', 'description', 'doc_id', 'assay_tissue', 'tissue_id', 'assay_tax_id', 'assay_organism', 'tid', 'bao_format', 'assay_type', 'confidence_score', 'curated_by', 'relationship_type', 'assay_test_type', 'assay_cell_type', 'cell_id', 'assay_strain', 'assay_subcellular_fraction', 'src_id']",9,0 days 00:01:35.318991,tests_stability,assays_horizontal_100_ec_av,dataframes
16,fodors_zagats,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,"['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'name', 'class', 'phone', 'addr', 'type', 'city']",2,0 days 00:00:30.001036,tests_stability,fodors_zagats,dataframes
17,musicians_unionable,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.92,0.85,1.0,"['musician', 'musicianLabel', 'genderLabel', 'birthDate', 'cityLabel', 'familyNameLabel', 'givenNameLabel', 'fatherLabel', 'motherLabel', 'partner', 'numberOfChildren', 'genreLabel', 'websiteLabel', 'residenceLabel', 'ethnicityLabel', 'religionLabel', 'activityStart', 'twitterNameLabel', 'geniusNameLabel', 'recordLabelLabel']","['musicianID', 'birthDate', 'webpage', 'familyName', 'musicianName', 'twitterUsername', 'city', 'geniusNameLabel', 'forename', 'spouse', 'recordCompany', 'fatherName', 'motherName', 'residence', 'kind', 'kickoff', 'ethnicity', 'religionLabel', 'NChildren', 'genderType']",4,0 days 00:01:25.779845,tests_stability,Musicians_unionable,dataframes
18,amazon_google_exp,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.0,1.0,1.0,"['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1,0 days 00:00:40.534145,tests_stability,amazon_google_exp,dataframes
19,amazon_google_exp,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.0,1.0,1.0,"['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",9,0 days 00:00:40.248374,tests_stability,amazon_google_exp,dataframes
20,assays_horizontal_50_ec_av,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,"['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'tid', 'relationship_type', 'confidence_score', 'curated_by', 'src_id', 'src_assay_id', 'chembl_id', 'cell_id', 'bao_format', 'tissue_id', 'variant_id']","['chembl_id', 'assay_id', 'description', 'doc_id', 'tissue_id', 'assay_tissue', 'assay_organism', 'assay_tax_id', 'tid', 'bao_format', 'confidence_score', 'assay_type', 'relationship_type', 'assay_test_type', 'curated_by', 'cell_id', 'assay_cell_type', 'src_id', 'assay_strain', 'assay_subcellular_fraction']",0,0 days 00:01:40.008783,tests_stability,assays_horizontal_50_ec_av,dataframes
21,assays_horizontal_50_ec_av,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,"['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'tid', 'relationship_type', 'confidence_score', 'curated_by', 'src_id', 'src_assay_id', 'chembl_id', 'cell_id', 'bao_format', 'tissue_id', 'variant_id']","['assay_id', 'chembl_id', 'description', 'doc_id', 'assay_tissue', 'tissue_id', 'assay_tax_id', 'assay_organism', 'tid', 'bao_format', 'assay_type', 'confidence_score', 'relationship_type', 'assay_test_type', 'curated_by', 'assay_cell_type', 'cell_id', 'assay_subcellular_fraction', 'assay_strain', 'src_id']",3,0 days 00:01:40.189488,tests_stability,assays_horizontal_50_ec_av,dataframes
22,prospect_horizontal_0_ec_av,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,"['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country', 'Phone', 'Income', 'NumberCars', 'NumberChildren', 'MaritalStatus', 'Age', 'CreditRating', 'OwnOrRentFlag', 'Employer', 'NumberCreditCards', 'NetWorth']","['FirstName', 'AgencyID', 'LastName', 'AddressLine2', 'PostalCode', 'NetWorth', 'Phone', 'AddressLine1', 'Income', 'Employer', 'CreditRating', 'City', 'Age', 'State', 'MiddleInitial', 'Gender', 'NumberCreditCards', 'NumberCars', 'MaritalStatus', 'NumberChildren', 'OwnOrRentFlag', 'Country']",1,0 days 00:01:45.922293,tests_stability,prospect_horizontal_0_ec_av,dataframes
23,prospect_horizontal_0_ec_av,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,"['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country', 'Phone', 'Income', 'NumberCars', 'NumberChildren', 'MaritalStatus', 'Age', 'CreditRating', 'OwnOrRentFlag', 'Employer', 'NumberCreditCards', 'NetWorth']","['LastName', 'FirstName', 'AgencyID', 'PostalCode', 'AddressLine2', 'Phone', 'AddressLine1', 'Income', 'NetWorth', 'Employer', 'CreditRating', 'City', 'Age', 'State', 'MiddleInitial', 'Gender', 'NumberCreditCards', 'NumberCars', 'NumberChildren', 'MaritalStatus', 'OwnOrRentFlag', 'Country']",7,0 days 00:01:43.532113,tests_stability,prospect_horizontal_0_ec_av,dataframes
24,assays_horizontal_100_ec_av,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,"['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'tid', 'relationship_type', 'confidence_score', 'curated_by', 'src_id', 'src_assay_id', 'chembl_id', 'cell_id', 'bao_format', 'tissue_id', 'variant_id']","['chembl_id', 'assay_id', 'description', 'doc_id', 'tissue_id', 'assay_tissue', 'assay_tax_id', 'assay_organism', 'tid', 'bao_format', 'assay_type', 'relationship_type', 'confidence_score', 'curated_by', 'assay_test_type', 'assay_cell_type', 'cell_id', 'src_id', 'assay_strain', 'assay_subcellular_fraction']",3,0 days 00:01:34.659800,tests_stability,assays_horizontal_100_ec_av,dataframes
25,prospect_horizontal_50_ec_av,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,"['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country', 'Phone', 'Income', 'NumberCars', 'NumberChildren', 'MaritalStatus', 'Age', 'CreditRating', 'OwnOrRentFlag', 'Employer', 'NumberCreditCards', 'NetWorth']","['LastName', 'AgencyID', 'FirstName', 'Phone', 'PostalCode', 'AddressLine2', 'Income', 'AddressLine1', 'NetWorth', 'Employer', 'CreditRating', 'City', 'Age', 'State', 'MiddleInitial', 'Gender', 'NumberCreditCards', 'NumberChildren', 'MaritalStatus', 'NumberCars', 'OwnOrRentFlag', 'Country']",7,0 days 00:01:46.704533,tests_stability,prospect_horizontal_50_ec_av,dataframes
26,dblp_acm,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",1.0,1.0,1.0,"['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",6,0 days 00:00:47.272013,tests_stability,dblp_acm,dataframes
27,musicians_unionable,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.92,0.85,1.0,"['musician', 'musicianLabel', 'genderLabel', 'birthDate', 'cityLabel', 'familyNameLabel', 'givenNameLabel', 'fatherLabel', 'motherLabel', 'partner', 'numberOfChildren', 'genreLabel', 'websiteLabel', 'residenceLabel', 'ethnicityLabel', 'religionLabel', 'activityStart', 'twitterNameLabel', 'geniusNameLabel', 'recordLabelLabel']","['musicianID', 'birthDate', 'webpage', 'familyName', 'musicianName', 'twitterUsername', 'city', 'geniusNameLabel', 'forename', 'spouse', 'recordCompany', 'fatherName', 'motherName', 'residence', 'kind', 'kickoff', 'ethnicity', 'religionLabel', 'NChildren', 'genderType']",6,0 days 00:01:32.691178,tests_stability,Musicians_unionable,dataframes
28,amazon_google_exp,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1]","[1, 1, 1, 1]",1.0,1.0,1.0,"['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",6,0 days 00:00:40.394176,tests_stability,amazon_google_exp,dataframes
29,prospect_horizontal_0_ec_av,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,"['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country', 'Phone', 'Income', 'NumberCars', 'NumberChildren', 'MaritalStatus', 'Age', 'CreditRating', 'OwnOrRentFlag', 'Employer', 'NumberCreditCards', 'NetWorth']","['LastName', 'AgencyID', 'FirstName', 'PostalCode', 'AddressLine2', 'Phone', 'AddressLine1', 'NetWorth', 'Income', 'Employer', 'CreditRating', 'City', 'Age', 'State', 'MiddleInitial', 'Gender', 'NumberCreditCards', 'NumberCars', 'MaritalStatus', 'NumberChildren', 'OwnOrRentFlag', 'Country']",3,0 days 00:01:43.822887,tests_stability,prospect_horizontal_0_ec_av,dataframes
30,dblp_acm,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",1.0,1.0,1.0,"['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",2,0 days 00:00:47.741645,tests_stability,dblp_acm,dataframes
31,prospect_horizontal_50_ec_av,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,"['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country', 'Phone', 'Income', 'NumberCars', 'NumberChildren', 'MaritalStatus', 'Age', 'CreditRating', 'OwnOrRentFlag', 'Employer', 'NumberCreditCards', 'NetWorth']","['LastName', 'AgencyID', 'FirstName', 'Phone', 'PostalCode', 'AddressLine1', 'AddressLine2', 'Income', 'NetWorth', 'Employer', 'CreditRating', 'City', 'Age', 'State', 'MiddleInitial', 'Gender', 'NumberCreditCards', 'NumberChildren', 'NumberCars', 'MaritalStatus', 'OwnOrRentFlag', 'Country']",6,0 days 00:01:46.651715,tests_stability,prospect_horizontal_50_ec_av,dataframes
32,fodors_zagats,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,"['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",6,0 days 00:00:30.966810,tests_stability,fodors_zagats,dataframes
33,prospect_horizontal_50_ec_av,deepwalk,700,64,3,skipgram,word2vec,10000,0.75,0.8,5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,"['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country', 'Phone', 'Income', 'NumberCars', 'NumberChildren', 'MaritalStatus', 'Age', 'CreditRating', 'OwnOrRentFlag', 'Employer', 'NumberCreditCards', 'NetWorth']","['AgencyID', 'LastName', 'FirstName', 'PostalCode', 'Phone', 'Income', 'NetWorth', 'AddressLine1', 'AddressLine2', 'Employer', 'CreditRating', 'City', 'Age', 'State', 'MiddleInitial', 'Gender', 'NumberCreditCards', 'NumberChildren', 'MaritalStatus', 'NumberCars', 'OwnOrRentFlag', 'Country']",4,0 days 00:01:45.839300,tests_stability,prospect_horizontal_50_ec_av,dataframes
